"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/App.css", "CSS", -1, 0, 1, 0, 0
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/Form.css", "CSS", -2, 0, 2, 0, 0
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/PasswordChecker.js", "JavaScript", 0, -2, 0, 0, -2
"Total", "-", -3, -2, 3, 0, -2
