"filename", "language", "JavaScript", "JSON", "CSS", "XML", "HTML", "SQL", "Python", "Properties", "comment", "blank", "total"
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page2_appearance.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ErrorBoundary.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 32, 48
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FacebookFeed.js", "JavaScript", -7, 0, 0, 0, 0, 0, 0, 0, -3, -4, -14
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/Form.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, -25, 12, -3
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/TextField.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Header.css", "CSS", 0, 0, -96, 0, 0, 0, 0, 0, 6, -22, -112
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Header.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 6, 16, 43
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/NavBar.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/PasswordChecker.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Picture.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, 0, 17, 10, 22
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_integrity2.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/imdb_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/logo_footer.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Admin.js", "JavaScript", -8, 0, 0, 0, 0, 0, 0, 0, -2, 1, -9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Contact.css", "CSS", 0, 0, -47, 0, 0, 0, 0, 0, 0, 2, -45
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Contact.js", "JavaScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 2, -2
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Gallery.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Info.css", "CSS", 0, 0, -3, 0, 0, 0, 0, 0, -22, 17, -8
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Info.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, -5, 41, 42
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Media.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Reels.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Reels.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Team.css", "CSS", 0, 0, -21, 0, 0, 0, 0, 0, -20, 2, -39
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Team.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, -14, 22, 19
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/UpdatePerformer.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 4, 7, 16
"Total", "-", 151, -631, -94, 73, 6, 0, -177, -17, -42, 145, -586
